,filename,year,date_exported,operator,pathname,source
289,HF.zip,2017,2017.07.17,HF,2017/HF.zip,mtc
290,MA.zip,2017,2017.07.17,MA,2017/MA.zip,mtc
291,MS.zip,2017,2017.07.17,MS,2017/MS.zip,mtc
292,PE.zip,2017,2017.07.17,PE,2017/PE.zip,mtc
293,RV.zip,2017,2017.07.17,RV,2017/RV.zip,mtc
294,SA.zip,2017,2017.07.17,SA,2017/SA.zip,mtc
295,SB.zip,2017,2017.07.17,SB,2017/SB.zip,mtc
296,SC.zip,2017,2017.07.17,SC,2017/SC.zip,mtc
297,SF.zip,2017,2017.07.17,SF,2017/SF.zip,mtc
298,SM.zip,2017,2017.07.17,SM,2017/SM.zip,mtc
299,SO.zip,2017,2017.07.17,SO,2017/SO.zip,mtc
300,SR.zip,2017,2017.07.17,SR,2017/SR.zip,mtc
301,ST.zip,2017,2017.07.17,ST,2017/ST.zip,mtc
302,UC.zip,2017,2017.07.17,UC,2017/UC.zip,mtc
303,VC.zip,2017,2017.07.17,VC,2017/VC.zip,mtc
304,VN.zip,2017,2017.07.17,VN,2017/VN.zip,mtc
305,WC.zip,2017,2017.07.17,WC,2017/WC.zip,mtc
306,WH.zip,2017,2017.07.17,WH,2017/WH.zip,mtc
