"","route_id","direction_id","am_headway","pm_headway","am_trips","pm_trips"
"827","2S",0,80,80,3,3
"828","3",0,71,60,3,4
"829","4",0,72,60,3,4
"830","5",0,33,138.5,7,4
"831","7",0,240,240,1,1
"832","8",0,60,60,4,4
"833","9",0,80,NA,3,NA
"834","9",1,NA,48,NA,5
"835","1",0,63,86,4,3
"836","2",0,101,139.5,5,3.5
"837","4",0,30,35,8,7
"838","5",0,105,32,5,7
"839","6",0,96,35,6,7
"840","8",0,84,38,6,6
"841","1",0,60,57,4,4
"842","10",0,45,38,5,6
"843","10",1,69,45,4,5
"844","11",0,66,39,4,6
"845","11",1,96,36,3,7
"846","2",0,38,31,6,8
"847","21",0,120,113,2,2
"848","21",1,192,100,1,2
"849","25",0,90,110,3,2
"850","25",1,120,100,2,2
"851","29",0,172,185,2,2
"852","29",1,89,89,3,3
"853","3",0,35,34,7,7
"854","4",0,111,32,4,7
"855","5",0,35,34,7,7
"856","6",0,62,46,4,5
"857","7",0,40,34,6,7
"858","8",0,40,30,6,8
"859","8",1,34,34,7,7
"860","10",0,16,15,15,16
"861","10",1,15,15,16,16
"862","101",0,120,NA,2,NA
"863","101",1,NA,120,NA,2
"864","102",0,NA,34,NA,7
"865","102",1,35,NA,7,NA
"866","103",0,NA,74,NA,3
"867","103",1,82,NA,3,NA
"868","104",0,NA,120,NA,2
"869","104",1,133,NA,2,NA
"870","120",0,NA,108,NA,3
"871","120",1,90,NA,3,NA
"872","121",0,34,NA,7,NA
"873","121",1,NA,29,NA,8
"874","122",0,NA,240,NA,1
"875","122",1,240,NA,1,NA
"876","13",0,70,60,4,4
"877","13",1,60,62,4,4
"878","14",0,80,60,3,4
"879","14",1,80,80,3,3
"880","140",0,NA,87,NA,3
"881","140",1,80,NA,3,NA
"882","16",0,197.5,89,1.5,3
"883","16",1,80,188.5,3,1.5
"884","168",0,NA,34,NA,7
"885","168",1,38,NA,6,NA
"886","17",0,109,68,2,4
"887","17",1,80,73,3,3
"888","18",0,48,43,5,6
"889","18",1,48,40,5,6
"890","180",0,30,75,8,4
"891","180",1,79,30,3,8
"892","181",0,16,46,15,10
"893","181",1,26,15,11,16
"894","182",0,NA,240,NA,1
"895","182",1,240,NA,1,NA
"896","185",0,80,NA,3,NA
"897","185",1,NA,96,NA,3
"898","19",0,51,95,5,4
"899","19",1,60,48,4,5
"900","201",0,11,11,22,22
"901","201",1,11,11,21,22
"902","22",0,40,15,8,16
"903","22",1,16,15,15,16
"904","23",0,13,126,18,10.5
"905","23",1,13,12,19,20
"906","25",0,82,21,7,12
"907","25",1,21,25,11.5,10.5
"908","26",0,74,55.5,4,5.5
"909","26",1,39,121,7,4
"910","27",0,33,33,7,7
"911","27",1,36,32,7,8
"912","304",0,NA,61,NA,4
"913","304",1,62,NA,4,NA
"914","31",0,120,30,4,8
"915","31",1,30,31,8,8
"916","32",0,32,32,7,8
"917","32",1,31,31,8,8
"918","321",0,240,NA,1,NA
"919","321",1,NA,240,NA,1
"920","323",0,34,17,7,14
"921","323",1,25,16,10,15
"922","328",0,130,NA,2,NA
"923","328",1,NA,154,NA,2
"924","330",0,NA,70,NA,4
"925","330",1,60,NA,4,NA
"926","34",0,NA,240,NA,1
"927","34",1,240,NA,1,NA
"928","35",0,141.5,30,3.5,8
"929","35",1,70,31,4,8
"930","37",0,125,32,2.5,8
"931","37",1,35,94,7,5
"932","39",0,40,34,6,7
"933","39",1,41,33,6,7
"934","40",0,38,122.5,6,4
"935","40",1,65,82,4,6
"936","42",0,55,125,4,2.5
"937","42",1,103,46,2,5
"938","45",0,62,61,4,4
"939","45",1,60,60,4,4
"940","46",0,32,152.666666666667,8,3
"941","46",1,142,30,3,8
"942","47",0,119,135.5,3,4.5
"943","47",1,139.5,31,3.5,8
"944","48",0,42,47,6,5
"945","48",1,55,47,4,5
"946","49",0,48,48,5,5
"947","49",1,48,46,5,5
"948","52",0,40,40,7,6
"949","52",1,46,30,5,8
"950","522",0,13,13,18,19
"951","522",1,44,12,15,20
"952","53",0,78,140,3,3
"953","53",1,59.5,61,4.5,4
"954","54",0,30,31,8,8
"955","54",1,45,30,6,8
"956","55",0,44,36.5,5.66666666666667,7
"957","55",1,44,70.3333333333333,6,3.66666666666667
"958","57",0,118,29,4,8
"959","57",1,37,31,6,8
"960","58",0,83,74,3,6
"961","58",1,144,157.333333333333,3,2.33333333333333
"962","60",0,40,36.5,6,7
"963","60",1,53,35,5,7
"964","61",0,133,135.5,4,4.5
"965","61",1,121,30,4,8
"966","62",0,34,30,7,8
"967","62",1,84,30,6,8
"968","63",0,36,35,7,7
"969","63",1,39,31,6,8
"970","64",0,32.5,40.5,7,6.5
"971","64",1,36,31,7,8
"972","65",0,52,52,5,5
"973","65",1,48,56,5,4
"974","66",0,136,165.333333333333,7,5.66666666666667
"975","66",1,81,16,8,15
"976","68",0,67,17,11,14
"977","68",1,112,165,7,6
"978","70",0,60,128,12,8
"979","70",1,16,16,15,15
"980","71",0,20,16,12,15
"981","71",1,21,17,11,14
"982","72",0,20,15,12,16
"983","72",1,16,16,15,15
"984","73",0,131,44.5,6,7.5
"985","73",1,66,18,8,13
"986","77",0,17,18,14,13
"987","77",1,18,17,13,14
"988","81",0,144,145.5,4,4
"989","81",1,142,135.5,3,4.5
"990","82",0,31,101.5,8,5
"991","82",1,108.5,30,3.5,8
"992","822",0,60,NA,4,NA
"993","822",1,NA,118,NA,2
"994","823",0,60,NA,4,NA
"995","823",1,NA,60,NA,4
"996","824",0,60,NA,4,NA
"997","824",1,NA,60,NA,4
"998","825",0,60,NA,4,NA
"999","825",1,NA,60,NA,4
"1000","826",0,NA,60,NA,4
"1001","826",1,60,NA,4,NA
"1002","827",0,NA,60,NA,4
"1003","827",1,60,NA,4,NA
"1004","828",0,NA,60,NA,4
"1005","828",1,60,NA,4,NA
"1006","831",0,NA,60,NA,4
"1007","831",1,60,NA,4,NA
"1008","88",0,180,80,2,3
"1009","88",1,76,61.3333333333333,3,4.33333333333333
"1010","89",0,28,240,9,1
"1011","89",1,240,121,1,4
"1012","10",0,45,41,5,6
"1013","11",0,40,31,6,8
"1014","11",1,48,31,5,8
"1015","12",0,48,40,5,6
"1016","12",1,48,40,5,6
"1017","15",0,40,38,6,6
"1018","15",1,45,37,5,6
"1019","16",0,32,31,7,8
"1020","16",1,30,32,8,8
"1021","17",0,80,80,3,3
"1022","17",1,80,80,3,3
"1023","18",0,80,96,3,3
"1024","18",1,60,80,4,3
"1025","30Z",0,40,33,6,7
"1026","30Z",1,40,37,6,6
"1027","C3",0,115,60,2,4
"1028","C3",1,80,61,3,4
"1029","JL",0,40,40,6,6
"1030","JL",1,140,32,3.5,8
"1031","JPX",0,138,145,6,5
"1032","JPX",1,48,45,11,12
"1033","JR",0,178,33,2,7
"1034","JR",1,45,61,5,6
"1035","JX",0,26,21,10,12
"1036","JX",1,28,18,8,14
"1037","LYNX",0,28,20,10,12
"1038","LYNX",1,20,42,12,8
